Title,Note,URL,Comment
7200 Appleby Ln,,https://www.google.com/maps/place/7200+Appleby+Ln/data=!4m2!3m1!1s0x882b65319c1369f1:0xd0e2c454dead9413,
Unholy Donuts,,https://www.google.com/maps/place/Unholy+Donuts/data=!4m2!3m1!1s0x89d4cb5fa7909947:0x56737ab101b320b2,
Tribeca Coffee Co.,,https://www.google.com/maps/place/Tribeca+Coffee+Co./data=!4m2!3m1!1s0x882b5c8db465c16f:0x4cdf92bb31182ce1,
The Sunshine Doughnut Co.,,https://www.google.com/maps/place/The+Sunshine+Doughnut+Co./data=!4m2!3m1!1s0x882c9e3bff91997f:0xc179b23abe951ef9,
Vereda Central Coffee Roasters,,https://www.google.com/maps/place/Vereda+Central+Coffee+Roasters/data=!4m2!3m1!1s0x882b4377208c85a5:0x57249ed6b6540748,
2050 Derry Rd W,,https://www.google.com/maps/place/2050+Derry+Rd+W/data=!4m2!3m1!1s0x882b6b2343b98023:0xcfef1b2dc6e6107d,
The Common On Bloor,,https://www.google.com/maps/place/The+Common+On+Bloor/data=!4m2!3m1!1s0x882b345c2cb048f3:0xad2a61723669f7c9,
Krave Coffee,,https://www.google.com/maps/place/Krave+Coffee/data=!4m2!3m1!1s0x882b347f1381a6c7:0x4835747e8df8fba5,
Contra Café,,https://www.google.com/maps/place/Contra+Caf%C3%A9/data=!4m2!3m1!1s0x882b34626dfec477:0xf0f2558df4023b89,
Dutch Dreams,,https://www.google.com/maps/place/Dutch+Dreams/data=!4m2!3m1!1s0x882b337e6689187f:0x3676474b03fd5a9f,
KIN KIN O-Ka-Ne by Oo-Kinza Fish House,,https://www.google.com/maps/place/KIN+KIN+O-Ka-Ne+by+Oo-Kinza+Fish+House/data=!4m2!3m1!1s0x89d4d3c0da180d03:0xbe368bc43ab7c1ec,
